| m \ alpha | 0.05 | 0.10 | 0.15 | 0.20 | 0.25 | 0.30 |
|---|---|---|---|---|---|---|
| 10 | 10.3143 | 13.4958 | 15.8351 | 17.4581 | 18.7076 | 19.6969 |
| 15 | 6.5315 | 9.2369 | 10.3983 | 11.0058 | 12.1442 | 12.9566 |
| 20 | 2.1976 | 6.5284 | 7.3957 | 8.5619 | 9.1254 | 9.9854 |
| 25 | 1.4894 | 2.2717 | 4.2312 | 6.1905 | 6.3833 | 7.2428 |
| 30 | 0.0000 | 1.6604 | 2.1755 | 3.0234 | 5.7921 | 6.1635 |
| 35 | 0.0000 | 0.9514 | 1.3201 | 1.5852 | 2.0021 | 3.1194 |
| 40 | 0.0000 | 0.0000 | 0.0540 | 0.5402 | 1.4131 | 1.9861 |
